NIKOLAYFEDOROFF	3.058	4.001	NA	NA	NA	NA	6.231	9.554	10.504	11.838	12.679	124.407	NA	15.127	19.991	28.674	38.227	NA	116.533	72.19	NA	NA	211.516	107.129	NA	233.88	NA	NA	449.843	467.597	52
MYLITTLEMANIA	3.093	3.527	4.381	4.459	NA	NA	6.687	11.572	14.111	15.523	16.099	NA	NA	NA	27.678	35.421	40.728	NA	NA	60.348	66.352	NA	NA	118.491	NA	NA	165.288	NA	201.368	317.742	50
VEDROBOEV	2.457	2.675	3.866	3.962	48.332	NA	5.856	9.444	NA	NA	NA	136.714	NA	11.957	21.114	NA	NA	NA	42.62	43.521	NA	NA	86.334	87.072	NA	NA	NA	NA	NA	NA	50
OLEJNIKMAX	2.821	3.331	4.129	4.569	NA	NA	5.095	9.565	11.156	14.087	16.277	NA	NA	NA	26.375	31.689	NA	NA	NA	56.999	69.385	NA	NA	NA	NA	NA	144.726	156.15	228.405	331.757	49
PUGGINS2	2.972	3.321	3.804	4.018	NA	NA	7.398	11.687	12.432	14.636	NA	NA	NA	19.062	24.523	28.943	31.296	NA	55.32	54.028	66.214	NA	132.59	137.183	NA	300.2	NA	NA	378.066	NA	47
DEVIN719	2.617	3.217	4.077	6.033	NA	NA	4.815	9.293	10.648	12.002	15.066	NA	NA	NA	23.944	28.914	38.323	NA	NA	49.72	NA	NA	NA	141.303	NA	NA	NA	NA	NA	411.303	45
ANESPERANTIST	2.018	3.232	NA	NA	NA	NA	5.071	8.237	NA	NA	NA	NA	NA	9.092	18.885	NA	NA	NA	NA	57.758	NA	NA	NA	NA	NA	NA	NA	NA	NA	327.325	45
JH05013	2.039	3.14	3.674	3.831	NA	222.086	6.903	10	10.662	11.518	11.814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	358.838	45
CRYPTICCUB3R631	2.661	3.12	3.524	3.773	NA	NA	6.483	8.959	10.694	12.04	NA	NA	NA	20.044	27.269	33.379	37.845	NA	78.795	58.622	67.973	NA	NA	123.933	NA	NA	256.681	NA	NA	418.899	44
JINXIAOBO	1.815	2.586	3.195	NA	NA	NA	4.227	9.31	10.154	NA	NA	NA	NA	11.452	24.053	NA	NA	NA	NA	56.708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43
JL586	2.741	3.354	3.988	4.196	NA	NA	4.896	8.825	9.85	12.244	13.731	NA	NA	NA	35.582	37.544	NA	NA	NA	74.134	NA	NA	NA	127.252	NA	NA	629.564	NA	NA	NA	41
CRIEL	2.061	3.093	NA	NA	NA	NA	4.311	7.664	8.45	9.52	NA	NA	NA	NA	16.551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41
DWUGGH	3.874	NA	NA	NA	NA	NA	4.438	8.249	8.938	10.315	NA	NA	NA	NA	28.71	34.488	37.182	NA	NA	NA	NA	NA	NA	NA	NA	NA	231.837	NA	NA	431.096	38
